locale|uk_UA
DIALOG_SALVAGE_EXPOSE_FAST_TITAN_3|Полярні телескопи захопили зображення цілісінького Antonoff-Titan K225 під назвою {random/ship/1/shipname}, мертвий без жодного видимого пошкодження. Ніякого СОС або зв'язку, лише гігантський корпус та очікування героя-рятувальника, здатного перемкнути переривач напруги. Якщо впораєтесь швидше за інших і запустите двигуни, можете сподіватися на найбільший гонорар у вашому житті. Або, ж, якщо виявиться, що цей корабель кинули не просто так...

DIALOG_SALVAGE_EXPOSE_FAST_TITAN_BB_1|На вигляд він чистенький, аж занадто! Antonoff-Titan K225 {random/ship/1/shipname} світився перед оком сусідніх кораблів. Капсули з вантажами акуратно складені, екіпажу і слідів немає. Є все потрібне, щоб пробратися в середину і завчити його реактор на повну? Придбаєте функціональний тягач! От тільки питання чому його покинули на настільки активній площині я б не поспішав задавати.

DIALOG_SALVAGE_EXPOSE_FAST_TITAN_BB_2|Обережно, брухтарі... з добрим натяком на те, що власник у нього досі є! K225, на ім'я {random/ship/1/shipname}, був поміченим буксиром поруч. Вантаж наполовину відрізаний і розкиданий, видно сліди роботи лазерів, а ззаду модуля проживання залишився тепловий слід. Те що він стоїть перед самим торговим маршрутом лише робить ситуацію підозрілішою; можливо, екіпаж досі гуляє десь поруч і чекає на добрих "дурачків" що зроблять роботу за них! Дійте швидко, дійте з розумом.

DIALOG_SALVAGE_EXPOSE_FAST_KITSUNE_1|Дивненько буде сьогодні. Шаттл класу Kitsune, під позначенням {random/ship/1/shipname}, був упізнаний шахтарем, що пролітав повз. Стиковочні захвати розкинуті у всі сторони, ніби його вирвали з материнника на ходу. Жодних слідів удару або розриву, лише... повна відсутність корабля, до якого він належав. Навкруги повно слідів реактивних факелів, тож, якщо ви заберете його вчасно, перевірте бортові журнали. Або ж навіть не відкривайте їх.

DIALOG_SALVAGE_EXPOSE_FAST_KITSUNE_2|Полярні телескопи спіймали щойно шаттл класу Kitsune, що повільно обертається, під позначенням {random/ship/1/shipname}, що йшов крізь менш насичені породою місця потоку у А-кільці. Рятувальних капсул випущено не було, тиск на борту в нормі, а від пілота, як завжди, залишилися лише спогади. Швидше за все він відвалився від якого-небудь транспортного каравану, що пролітав тут раритетними проходами. Якщо вам так потрібна посудина цього типу, можете забрати. Тільки не лізьте зі своїми "чому" в пустий корабель.

DIALOG_SALVAGE_EXPOSE_FAST_KITSUNE_3|Тут у нас ND-LIS Kitsune з ім'ям {random/ship/1/shipname}, лежить собі боком на великому шматку льоду — ніби пілот спробував посадити шаттл у невагомості і програв. З корпусом все добре, пошкоджень не виявлено, проте кораблю явно не варто стояти поміж таких каменюк. Хтось би мав попередити пілота, що брили в зонах високого трафіку — це фактично просто пил! Мабуть, черговий фрілансер, для якого слово "компактний" стало синонімом слова "безсмертний". Якщо шукаєте легку наживу, цей варіант дається вам на халяву.

DIALOG_SALVAGE_EXPOSE_FAST_OCP_1|У нас тут ОБП 209 з ім'ям {random/ship/1/shipname}, що відпочиває в крижаному полі з низькою щільністю — ніби хтось будував-будував і раптово залишив роботу. Корпус без подряпин, маніпулятори на місці. Якщо вам потрібен корабель об'ємом з півстанції, забирайте, інакше хтось інший розбере його на запчастини.

DIALOG_SALVAGE_EXPOSE_FAST_OCP_2|Увага, брухтарі! Цілісеньку орбітальну будівельну платформу тільки-но засвітили далекі радари. ОБП 209 під позначенням {random/ship/1/shipname} у відмінному стані, але зовсім мертва. Ані сигналів СОС, ані звісток від екіпажу — вона просто зависла в кільцях поряд із найпопулярнішими трасами.

DIALOG_SALVAGE_EXPOSE_FAST_OCP_3|Полярний телескоп доповів про наявність ОБП 209 з маркуванням {random/ship/1/shipname}, яка занадто рівно зависла в робочій зоні екскавації. Її або дійсно так залишили, або хтось намагається, щоб так думали інші. Купа простору всередині, повно робочих маніпуляторів, та ще й припаркована поруч із місцем, де повно слідів реактивних факелів. Якщо захочете перевірити те місце, будьте в бойовій готовності.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_1|Сканери далекого радіусу зловили Eagle Prospector {random/ship/1/shipname}, який дрейфує із знеструмленим реактором. Без слідів стирання і благань про допомогу... завис у хмарці пилу поблизу транзитного каналу і чекає пілота, який розбереться що куди підключається. Для тих, хто шукав "робочу конячку" — вона перед вами, готова до нової зміни.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_2|О, сьогодні у нас дещо цікаве — Eagle Prospector {random/ship/1/shipname} сидить пристикований до астероїда. Заточка розрізала породу якраз до половини; сенсори мінералів зафіксували надвисоку густоту запасів... От тільки екіпаж пропав безвісти! Їх або покликали на короткий обід і забули з нього повернути, або ж щось, від якого залишився величезний факельний слід, змусило летіти звідти чимдуж.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_3|Команда археологів доповіла про надто вже ідеальний Eagle Prospector {random/ship/1/shipname}, який знаходиться в зоні з підвищеною щільністю мінералів. Ніяких структурних подряпин, але і екіпажу на борту більше немає. Якщо вам так потрібна шахтарська збірка без ушкоджень — вважайте, що вона ваша. Залишається лише одне питання: чому ніхто не забрав її раніше?

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_LUX_1|Маємо дивненьку історію... Peacock Prospector {random/ship/1/shipname} на повному ходу, у салоні повний комфорт, от тільки ніякого екіпажу навколо. Судячи з глибоких термосканувань — еспресо машина тільки-но зробила свіжу каву. Хтось або вийшов із салону "провітритись", або просто залишив посудину дрейфувати далі у невідомому напрямку.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_LUX_2|До уваги брухтарів — хтось намагався проїхатися в кільця на своїй елітній "розвалюсі" і феєрично сфейлився. Peacock Prospector із позивним {random/ship/1/shipname} тихо відпочиває на узбіччі; практично недоторканий, занедбаний і абсолютно непридатний до вжитку через відсутність самого пілота. Ймовірно, якийсь корпоративний мажорний синок хотів "доторкнутися до життя робочого класу" і якимось чином розбився на транспортній магістралі. Якщо зможете витерпіти шкіряні сидіння — корабель ваш.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_LUX_3|Все виглядає занадто чисто і гарно. Mitsudaya-Starbus Peacock Prospector {random/ship/1/shipname} перехопили полярними телескопами; він тихо-мирно повзе по насиченому шахтарському коридору. Жодних сигналів SOS, пошкоджень... лише самотня "лакшері" версія шахтарського човника для того, хто першим зможе його оприбуткувати.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_VP_1|Тягач Vulture Prospector {random/ship/1/shipname} впав на далекий радар; корабель не реагує, а корпус зовсім неушкоджений! Пробоїни відсутні, реактор живий-здоровий, нічого екстраординарного... от тільки жодна адекватна на голову людина не сяде за штурвал оцієї штуки! Якщо ви готові забрати до себе корабель, що зробить з вас посміховисько, із жалюгідним вікном можливостей, він ваш.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_VP_2|Маємо Conlido Vulture Prospector із маркуванням {random/ship/1/shipname}, який просто-таки плаває собі біля якогось звичайного астероїда, абсолютно в робочому порядку. І реактор, і всі маневруючі двигуни цілі, але керувати нікому... Попередній екіпаж міг або зійти з розуму, або піти на кращі хліби, тим більше в такій доступній для транспорту локації. Якщо найгірші умови експлуатації вас не зможуть налякати — він в повному вашому розпорядженні.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_VP_3|Група скраперів, яка проходила крізь А-кільце звернула увагу на Vulture Prospector {random/ship/1/shipname}, що мирно, і занадто гарненько стояв за великими брилами на краю світла. Системи сканування показують, що він майже на 100% новий. Через це постає запитання... а якого біса залишати новий рятувальний корабель, особливо поруч з такою гарячою зоною?

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_FAT_1|У нас тут Pelican Prospector із назвою {random/ship/1/shipname}, припаркований посеред пилу разом із широко відкритим екскаватором. Пілот або не розрахував вантаж, або його центр маси нарешті дав про себе знати. Їхня лінія курсу знаходиться дуже близько до торгової жилки, що наштовхує на думки щодо їхніх першочергових планів "видобутку". Хочете тягач? Тримайте! Тільки потім не скаржтеся на управління.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_FAT_2|Дивний радіолокаційний сигнал Pelican Prospector під маркуванням {random/ship/1/shipname}: пливе по течії без жодних пошкоджень, але керування втрачене цілком і повністю. Двигуни відповідають, реактор працює, але він просто не відповідає на виклики системи керування. Може, навігація "поплила", а може, і просто пілот здався на півдорозі. У будь-якому разі у вас з'явився шанс отримати вантажний трюм на всі гроші, тож дістаньтеся туди якомога швидше.

DIALOG_SALVAGE_EXPOSE_FAST_PROSPECTOR_FAT_3|Увага, брухтарі! У багатому на льодові астероїди поясі знайдено Pelican Prospector із позивним {random/ship/1/shipname}. Слідів проникнення не виявлено, як і сигналів прохання на допомогу. Якщо вам потрібен саме об'єм судна — він ваш! Та для початку подумайте, а з якої це радості екіпаж покинув борт не розвантажившись? Летіть швидко — цю зону вже відзначили як нову гарячу точку!

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_1|Дальній радар помітив Cothon-212 на ім'я {random/ship/1/shipname}, що повільно перекидається в A-кільці. Радіатори розбиті вщент, маневрові двигуни ледве реагують. Але кабіна? Ця рятувальна капсула, що стала містком, все ще щільно закрита. Якщо ви коли-небудь хотіли керувати вантажним тягачем зсередини переробленої рятувальної капсули, це ваш шанс, і вам краще дістатися туди швидко, бо на цей корабель все ще є попит.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_2|Увага, брухтарі — покинутий Cothon-212, позначення {random/ship/1/shipname}, був помічений, дрейфуючи боком через поле пилу високої щільності. Немає пробоїн корпусу, але пілонні двигуни відмовили повністю. Ці штуки ніколи не були створені для кілець, і тепер ви бачите чому. Якщо ви хочете його забрати, запасіться терпінням і краплиною удачі, бо цей корабель скоро продрейфує повз транзитну зону з високим трафіком.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_3|У нас сьогодні антикварний екземпляр — Cothon-212, позначення {random/ship/1/shipname}, який ледве пережив свою останню тягу, перш ніж кільця взяли своє. Схоже, хтось думав, що "міжмісячний" означає "достатньо хороший для зон глибоких уламків". Якщо ви хочете антикварний тягач, який керується гірше за заморожену цеглину, він повністю ваш, але це ненадовго, адже він знаходиться зовсім не на відшибі.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_CHK_1|Увага, мисливці за уламками — покинутий Cothon-211, позначення {random/ship/1/shipname}, був помічений припаркованим чисто в зоні розкопок. Реактор все ще теплий, але жодних слідів екіпажу. Або хтось отримав несподівану поїздку додому, або залишив там щось, з чим не хотів мати справу. У будь-якому разі, дістаньтеся туди якомога швидше, і найбільший ківш 2200-х років — ваш.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_CHK_2|У нас сьогодні антикваріат — Cothon "Chonker", позначення {random/ship/1/shipname}, все ще міцно тримається за наполовину розрізаний астероїд, ніби працював до останнього. Електромережа виглядає цілою, але він не рухається, проте вам доведеться рухатися, якщо хочете накласти на нього лапи.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_CHK_3|Щойно надійшов звіт про уламки — Cothon-211, зареєстрований як {random/ship/1/shipname}, кріплення екскаватора все ще на місці, але його відсік обчищений дочиста. Або хтось розібрав його на деталі, або їм була потрібна лише одна конкретна річ, а решту залишили. Якщо ви добре розбираєтеся в ремонті, у цьому кораблі все ще є життя. Забирайте його швидше, бо багато інших брухтарів у кільцях теж про нього знають.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_LND_1|У нас є Cothon-213 "Трійня", зареєстрований як {random/ship/1/shipname}, наполовину застряглий у крижаному хребті, головні факели все ще викидають залишкове тепло. Схоже, хтось став занадто впевненим з тягою і забув, що ці бляшанки керуються як п'яна баржа. Якщо ви зможете викопати його, він ваш — за умови, що він не запустить себе на наступну орбіту в ту мить, коли ви натиснете на запалювання.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_LND_2|Полярний масив телескопів щойно помітив Cothon-213 на ім'я {random/ship/1/shipname}, розкиданий по полю уламків. Головні факели перегоріли і відірвалися, рама тріснула в трьох місцях, але вантажний відсік виглядає переважно цілим. Якщо ви готові до брудної роботи, цей корабель безкоштовний — вам просто доведеться спочатку знайти всі шматки, перш ніж вас хтось випередить.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_LND_3|У нас є Cothon-213, класифікований під {random/ship/1/shipname}, затиснутий у повільному скупченні льоду. Жодного зв'язку, просто купа маси, яка явно пішла не туди, куди мала. Ці штуки розроблялися, щоб вириватися з гравітаційних колодязів — а не пробиратися крізь кільця. Якщо хочете його забрати, придумайте план, як втримати його від того, щоб він не спалив себе на іншу орбіту або не врізався в інше рятувальне судно поруч.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_V_1|Cothon-217, раніше зареєстрований як {random/ship/1/shipname}, щойно з'явився на сканерах дальнього радіусу дії, і він зовсім не в тому вигляді, в якому його збудували. "Бендери" були створені, щоб гнучко змінювати своє сховище за потреби, але тут щось пішло не так — деформація корпусу, часткове руйнування відсіку і вантажний трюм, який виглядає так, ніби намагався вивернутися навиворіт. Якщо зможете розплутати цей безлад, він усе ще може полетіти. Ці кораблі рідкісні, тому навіть пошкоджені користуються високим попитом; не кажіть, що я не попереджав, якщо прилетите туди і нічого не знайдете.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_V_2|Рідкісна знахідка сьогодні — один із небагатьох коли-небудь побудованих Cothon-217, зареєстрований як {random/ship/1/shipname}, плаває холодним у A-кільці. Ні пробоїн корпусу, ні живлення. Схоже, вантажний відсік змінив розмір не в той час і зігнувся не в той бік. Решта корабля виглядає цілою, але якщо ви коли-небудь хотіли тягач, який активно бореться з вами за управління, це просто ідеальний кандидат. І якщо ви не хочете битися з іншими кораблями за брухт, дійте швидко.

DIALOG_SALVAGE_EXPOSE_FAST_COTHON_V_3|Полярний масив телескопів помітив Cothon-217, що відгукується як {random/ship/1/shipname}, і дрейфує в густому скупченні льоду. Що тут дивного? Його адаптивна вантажна система все ще працює. Ні екіпажу, ні сигнатур живлення, але відсіки для зберігання розширюються і стискаються, ніби хтось досі ним керує. Якщо хочете заявити на нього права, вам, мабуть, доведеться спочатку з'ясувати, що всередині, і швидко, перш ніж хтось інший добереться до нього.
