locale|uk_UA
DIALOG_SALVAGE_EXPOSE_SLOW_K37_TRTL-T_2|Ще один фрілансер подумав, що може впоратися із порятунком поодинці. KTA24 відзивається як {random/ship/1/shipname}, потрапив у крижаний затор і тепер від нього немає жодної користі. Двигуни зворотної тяги розбалансовані, не вистачає маневрової потужності — мабуть, хтось вирішив не читати інструкцію. Якщо шукаєте легку наживу, ідіть і покажіть цьому одинаку, як працюють справжні професіонали.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_TRTL-T_3|Черговий надмірно впевнений фрілансер тільки-но зробив пожертву кільцям. KTA24 із тегом {random/ship/1/shipname} зараз бовтається із двигунами, що миготять. Ніяких ознак екіпажу — скоріш за все, їм стало соромно кликати на допомогу. Якщо вам потрібен буксир, він просто сидить там і чекає на когось із реальними навичками.

DIALOG_SALVAGE_EXPOSE_SLOW_EIME_1|Отакої... черговий "геній" із трастовим фондом подумав, що високопродуктивна яхта впорається з уламками кілець. EIME під маркуванням {random/ship/1/shipname} тепер є надзвичайно дорогим шматком космічного сміття. Термоядерний рушій офлайн, комп'ютерна система згоріла, а того ідіота, що її тут припаркував, ніде не знайти. Хочете володіти помилкою мільярдера? Ідіть і забирайте.

DIALOG_SALVAGE_EXPOSE_SLOW_EIME_2|Ну ж бо, подивіться, що щойно з'явилося на сканах далекого радіусу дії — EIME, позначення {random/ship/1/shipname}, яка безпорадно плаває посеред кільця А. Ймовірно, вирушив сюди за «справжнім життєвим досвідом» перед виплатою зі свого трастового фонду, лише щоб усвідомити, що уламкам кілець абсолютно начхати, скільки коштує твій корабель. Якщо вам хочеться зняти трохи переоцінених технологій, вона повністю ваша.

DIALOG_SALVAGE_EXPOSE_SLOW_EIME_3|Якийсь геній притягнув EIME — так, термоядерну яхту — у густий коридор розкопок. І вгадайте що? Вони зникли, а яхта і досі тут. Транспондер читає {random/ship/1/shipname}, немає аварійних маяків, немає слідів екстреного евакуювання. Або вони дістали собі неймовірно дорогу поїздку додому, або ж зараз дізнаються, який на смак вакуум.

DIALOG_SALVAGE_EXPOSE_SLOW_TITAN_1|На радарах дальньої стіни щойно з'явився Antonoff-Titan K225, відгукується на {random/ship/1/shipname}, і лежить собі холодним поблизу поля уламків низької щільності. Вона занадто велика для стандартного буксира, тож якщо думаєте її витягти, краще беріть друзів. Вантажні капсули досі прикріплені — невідомо, чи вони повні, порожні, чи взагалі напхані сюрпризами. Дійте обережно.

DIALOG_SALVAGE_EXPOSE_SLOW_TITAN_2|У нас на руках привид. K225, позначення {random/ship/1/shipname}, був помічений у дрейфі біля старого місця розкопок. Ні маяка, ні відповіді, просто мертвий гігант у темряві. Якщо хочете цей, вам, ймовірно, доведеться вийти у відкритий космос і запустити її зсередини. Сподіваюся, вам подобається працювати в невагомості без підтримки.

DIALOG_SALVAGE_EXPOSE_SLOW_TITAN_3|Полярний масив телескопів помітив повністю цілий Antonoff-Titan K225, позначення {random/ship/1/shipname}, що стоїть мертвим без жодних видимих пошкоджень. Жодних викликів лиха, просто масивна туша чекає, поки хтось підніметься на борт і перемкне рубильники. Якщо зможете її запустити, можливо, вийдете з найбільшим гонораром у своїй кар'єрі — або дізнаєтесь, чому її кинули.

DIALOG_SALVAGE_EXPOSE_SLOW_TITAN_BB_1|Цей майже занадто чистий. Antonoff-Titan K225, пінгує як {random/ship/1/shipname}, помічений повністю цілим шахтарською командою неподалік. Вантажні капсули зафіксовані на місці, і все ж... ні екіпажу, ні відповіді. Якщо у вас є інструменти, щоб піднятися на борт і запустити реактор, ви можете просто піти з повністю функціональним тягачем. Тільки не питайте, чому його залишили.

DIALOG_SALVAGE_EXPOSE_SLOW_TITAN_BB_2|Увага, брухтарі — у цього вже може бути власник. K225, позначення {random/ship/1/shipname}, був помічений попутним тягачем. Вантажні капсули наполовину від'єднані, на корпусі видно сліди роботи різака, і є дивний залишковий тепловий слід у житловому модулі. Або хтось там живе, або хтось спостерігає здалеку, щоб побачити, чи зробите ви важку роботу за них. Рухайтеся швидко, рухайтеся розумно.

DIALOG_SALVAGE_EXPOSE_SLOW_KITSUNE_1|У нас сьогодні дивний випадок. Шатл класу Kitsune, позначення {random/ship/1/shipname}, був помічений шахтарем, що пролітав повз. Стиковочні затискачі все ще висунуті, ніби його зірвали з материнського корабля під час польоту. Жодних ознак удару чи вибуху, просто... відсутній корабель, якому він належав. Якщо ви заберете його, можливо, перевірте журнали. Або, мабуть, не треба.

DIALOG_SALVAGE_EXPOSE_SLOW_KITSUNE_2|Масив полярних телескопів спіймав шатл класу Kitsune, що повільно перекидався, позначення {random/ship/1/shipname}, і рухався через ділянку A-кільця низької щільності. Жодних запусків рятувальних капсул, жодної втрати тиску, жодних ознак того, що сталося з пілотом. Якщо вам потрібен допоміжний корабель, це може бути чиста знахідка. Тільки не питайте, чому він порожній.

DIALOG_SALVAGE_EXPOSE_SLOW_KITSUNE_3|У нас є ND-LIS Kitsune, пінгує як {random/ship/1/shipname}, припаркований боком на шматку льоду, ніби його пілот намагався сісти в невагомості і не зміг. Ні пробоїн корпусу, ні реальних пошкоджень, просто шатл сидить там, де його абсолютно не повинно бути. Ймовірно, якийсь фрілансер, який думав, що "компактний" означає "незнищенний". Якщо шукаєте легкий брухт, цей вам дається безкоштовно.

DIALOG_SALVAGE_EXPOSE_SLOW_OCP_1|Ми отримали повідомлення про ОБП 209, що пінгує як {random/ship/1/shipname}, і яка припаркувалася в льодовому полі середньої щільності, ніби хтось щось будував, а потім просто пішов геть. Корпус цілий, маніпулятори все ще на місці. Якщо вам потрібен корабель, який зможе тягнути з собою половину станції, заходьте, поки хтось інший не забрав частини.

DIALOG_SALVAGE_EXPOSE_SLOW_OCP_2|Увага, мисливці за уламками — цілісенька орбітальна будівельна платформа щойно з'явилася на сканерах дальнього радіусу. ОБП 209, позначення {random/ship/1/shipname}, повністю неушкоджена, але мовчить. Ні сигналів лиха, ні відповідей екіпажу, просто мертво стоїть у кільцях.

DIALOG_SALVAGE_EXPOSE_SLOW_OCP_3|Полярний телескоп відмітив ОБП 209, позначення {random/ship/1/shipname}, яка дрейфує занадто чисто в активній зоні розкопок. Хтось або кинув ідеально хорошу будівельну установку, або хоче, щоб ви так подумали. Великий корпус, масивні маніпулятори та завеликий потенціал, щоб бути просто "забутою". Якщо збираєтесь туди, готуйтеся відповісти боєм.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_1|Дальній радар помітив Eagle Prospector, позначення {random/ship/1/shipname}, який дрейфує з мертвим реактором. Жодних ознак зіткнення, жодних аварійних пінгів — просто завис у пилу та чекає на пілота, який знає, як перемкнути рубильники. Якщо вам потрібна "робоча конячка", ця готова до другої зміни.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_2|Сьогодні в нас дещо дивне — Eagle Prospector, позначення {random/ship/1/shipname}, зафіксований і він досі прикріплений до астероїда. Дробилка зупинилася на половині розрізу, показники руди сигналізують про високу щільність покладів, але екіпаж? Десь зник. Або вони вийшли на каву і ніколи не повернулися, або щось змусило їх піти у поспіху.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_3|Екіпаж розкопок доповів про Eagle Prospector, що плаває занадто чисто в густому рудному полі, тег {random/ship/1/shipname}. Жодних структурних пошкоджень, жодних подряпин на корпусі, і все ж, жодного екіпажу. Якщо вам потрібна повністю функціональна бурова установка, вона ваша — лише запитайте себе, чому досі ніхто інший її не забрав.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_LUX_1|Маємо дивненьку історію — Peacock Prospector, позначення {random/ship/1/shipname}, помічений повністю забезпеченим енергією, зі свіжими показниками середовища, але без екіпажу. Дальнє теплосканування показує, що еспресо-машина досі тепла. Або хтось недавно вийшов, або зараз цей корабель робить каву для привидів.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_LUX_2|Увага, брухтарі — хтось спробував притягнути свій люксовий корабель у кільця і провалився з тріском. Peacock Prospector, що відгукується як {random/ship/1/shipname}, просто стоїть там: незайманий, покинутий і абсолютно ні на що не здатний без пілота. Напевно якийсь синочок корпората хотів «випробувати життя робочого класу». Якщо витримуєте запах шкіряних сидінь, забирайте свою здобич.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_LUX_3|Цей виглядає занадто гарним. Mitsudaya-Starbus Peacock Prospector, відмічений {random/ship/1/shipname}, потрапив на пульт полярних телескопів, дрейфуючи спокійно в жвавому шахтарському коридорі. Жодних маяків лиха, жодних ознак шкоди — лише ідеально збережений люксовий рудокоп, чекаючи на того, хто його візьме. Якщо хочете його забрати, тільки переконайтеся, що там ніхто не чекає на вас.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_VP_1|Vulture Prospector, позначення {random/ship/1/shipname}, був помічений дальнім радаром у холодному дрейфі, але він повністю цілий. Ні пробоїни, ні пошкодження реактора, нічого дивного — окрім того, що нормальна людина навіть не подивиться на цю бляшанку. Якщо шукаєте готовий до експлуатації брухт, який зробить ваше життя нестерпним, він чекає на вас.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_VP_2|У нас є Conlido Vulture Prospector, позначення {random/ship/1/shipname}, який просто плаває біля напіврозібраного астероїда в повному робочому стані. Реактор в нормі, двигуни в нормі, але екіпажу катма. Або попередній власник більше цього не витримав, або вони знайшли щось значно краще. Якщо готові переносити найгірші умови проживання по цю сторону від вакууму, він ваш.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_VP_3|Команда брухтарів, минаючи А-кільце, помітила Vulture Prospector, з тегом {random/ship/1/shipname}, припаркований аж надто акуратно у темній частині кілець. Скани корпусу кажуть, що машина в ідеальному стані, що викликає запитання: навіщо комусь залишати брухтозбирача на ходу?

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_FAT_1|Маємо візуальне підтвердження про Pelican Prospector з ім'ям {random/ship/1/shipname}, який "помер" посеред пилу з відкритим екскаватором. Пілот або переоцінив власну вантажопідйомність, або центр мас зрештою зіграв злий жарт над управлінням. Хочете тягач? Тримайте — тільки переконайтеся, що готові боротися за руль з кожним новим маневром.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_FAT_2|Зловили дивний відгук на сонарах: Pelican Prospector під позивним {random/ship/1/shipname} дрейфує без помітних зовнішніх пошкоджень, проте управління явно втрачене. Двигуни в мережі, реактор теплий, але корабель ігнорує зовнішні виклики. Злетіла система навігації, пілот кинув судно на половині шляху... хай там що, вас чекає маса місця і новий вантажний відсік.

DIALOG_SALVAGE_EXPOSE_SLOW_PROSPECTOR_FAT_3|Увага, брухтарі — покинутий Pelican Prospector, з тегом {random/ship/1/shipname}, пришвартований біля мінерального льодового кільця. Без ознак злому, жодного сигналу SOS. Якщо все, що вам потрібно, це тоннажність, у вас вона є — тільки запитайте себе, чому екіпаж покинув корабель не розвантажившись.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_1|Дальній радар помітив Cothon-212 на ім'я {random/ship/1/shipname}, що повільно перекидається в A-кільці. Радіатори розбиті вщент, маневрові двигуни ледве реагують. Але кабіна? Ця перероблена рятувальна капсула, що стала містком, все ще щільно закрита. Якщо ви коли-небудь хотіли керувати вантажним тягачем зсередини переробленої рятувальної капсули, це ваш шанс.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_2|Увага, брухтарі — покинутий Cothon-212, позначення {random/ship/1/shipname}, був помічений, дрейфуючи боком через поле пилу високої щільності. Немає пробоїн корпусу, але пілонні двигуни відмовили повністю. Ці штуки ніколи не були створені для кілець, і тепер ви бачите чому. Якщо ви хочете його забрати, запасіться терпінням.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_3|У нас сьогодні антикварний екземпляр — Cothon-212, позначення {random/ship/1/shipname}, який ледве пережив свою останню тягу, перш ніж кільця взяли своє. Схоже, хтось думав, що "міжмісячний" означає "достатньо хороший для зон глибоких уламків". Якщо ви хочете антикварний тягач, який керується гірше за заморожену цеглину, він повністю ваш.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_CHK_1|Увага, мисливці за уламками — покинутий Cothon-211, позначення {random/ship/1/shipname}, був помічений припаркованим чисто в зоні розкопок. Реактор все ще теплий, але жодних слідів екіпажу. Або хтось отримав несподівану поїздку додому, або вони залишили там щось, з чим не хотіли мати справу.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_CHK_2|У нас сьогодні антикваріат — Cothon "Chonker", позначення {random/ship/1/shipname}, все ще міцно тримається за наполовину розрізаний астероїд, ніби працював до останнього. Електромережа виглядає цілою, але він не рухається.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_CHK_3|Щойно надійшов звіт про уламки — Cothon-211, зареєстрований як {random/ship/1/shipname}, кріплення екскаватора все ще на місці, але його відсік обчищений дочиста. Або хтось розібрав його на деталі, або їм була потрібна лише одна конкретна річ, а решту залишили. Якщо ви добре розбираєтеся в ремонті, у цьому кораблі все ще є життя.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_LND_1|У нас є Cothon-213 "Трійня", зареєстрований як {random/ship/1/shipname}, наполовину застряглий у крижаному хребті, головні факели все ще викидають залишкове тепло. Схоже, хтось став занадто впевненим з тягою і забув, що ці бляшанки керуються як п'яна баржа. Якщо ви зможете викопати його, він ваш — за умови, що він не запустить себе на наступну орбіту в ту мить, коли ви натиснете на запалювання.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_LND_2|Полярний масив телескопів щойно помітив Cothon-213 на ім'я {random/ship/1/shipname}, розкиданий по полю уламків. Головні факели перегоріли і відірвалися, рама тріснула в трьох місцях, але вантажний відсік виглядає переважно цілим. Якщо ви готові до брудної роботи, цей корабель безкоштовний — вам просто доведеться спочатку знайти всі шматки.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_LND_3|У нас є Cothon-213, класифікований під {random/ship/1/shipname}, затиснутий у повільному скупченні льоду. Жодного зв'язку, просто купа маси, яка явно пішла не туди, куди мала. Ці штуки розроблялися, щоб вириватися з гравітаційних колодязів — а не пробиратися крізь кільця. Якщо хочете його забрати, придумайте план, як втримати його від того, щоб він не спалив себе на іншу орбіту.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_V_1|Cothon-217, раніше зареєстрований як {random/ship/1/shipname}, щойно з'явився на сканерах дальнього радіусу дії, і він зовсім не в тому вигляді, в якому його збудували. "Бендери" були створені, щоб гнучко змінювати своє сховище за потреби, але тут щось пішло не так — деформація корпусу, часткове руйнування відсіку і вантажний трюм, який виглядає так, ніби намагався вивернутися навиворіт. Якщо зможете розплутати цей безлад, він усе ще може полетіти.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_V_2|Рідкісна знахідка сьогодні — один із небагатьох коли-небудь побудованих Cothon-217, зареєстрований як {random/ship/1/shipname}, плаває холодним у A-кільці. Ні пробоїн корпусу, ні живлення. Схоже, вантажний відсік змінив розмір не в той час і зігнувся не в той бік. Решта корабля виглядає цілою, але якщо ви коли-небудь хотіли тягач, який активно бореться з вами за управління, це просто ідеальний кандидат.

DIALOG_SALVAGE_EXPOSE_SLOW_COTHON_V_3|Полярний масив телескопів помітив Cothon-217, що відгукується як {random/ship/1/shipname}, і дрейфує в густому скупченні льоду. Що тут дивного? Його адаптивна вантажна система все ще працює. Ні екіпажу, ні сигнатур живлення, але відсіки для зберігання розширюються і стискаються, ніби хтось досі ним керує. Якщо хочете заявити на нього права, вам, мабуть, доведеться спочатку з'ясувати, що всередині.
